0,0,0,0,0,0,0,0,0,0
30,4148.86730509,5.11269124795,1344.12905413,6.69240854705,2,319,3246,22,3589
60,4398.75065372,5.22775769075,1330.36281484,6.60876562074,3,292,3467,18,3780
90,4727.10834161,5.2848855725,1407.26069139,6.76108589134,4,325,3587,16,3932
120,3583.17518307,5.24632426426,1109.98028254,6.57060375111,1,304,3035,14,3354
150,3739.97578254,5.22497811968,1116.87532198,6.56938281769,6,278,3060,18,3362
180,4008.22801316,5.35226253975,1546.11595457,6.31715882169,4,310,3405,22,3741
210,2711.29972344,5.43367932023,1046.43936284,6.58249882933,6,284,2677,16,2983
240,4569.26589522,5.28503261355,1431.92714942,6.7877180149,2,306,3624,31,3963
270,5178.50390998,5.33386393718,1991.5452313,6.34188395296,1,309,3850,13,4173
300,4022.87295664,5.25999901135,1384.75980891,6.7572048671,6,326,3162,30,3524
330,4497.70325051,5.24928999003,1447.501975,6.65677402857,2,317,3428,16,3763
360,2640.35655254,5.37928411204,1045.88595263,6.4710309535,3,280,2601,14,2898
390,6350.27765047,5.39507627638,2542.02533481,6.45926043756,2,339,4449,14,4804
420,6400.39721451,5.12699888396,1708.8956338,6.76230974232,1,317,4062,158,4538
450,4413.52248889,5.32762077206,1606.65226471,6.44785073278,12,326,3590,12,3940
480,3171.47544515,5.45155745881,1411.29682277,6.55411133689,6,300,3107,18,3431
510,3728.405426,5.37644120069,1459.02061918,6.51368400677,7,315,3236,24,3582
540,5702.30270088,5.06696313537,1559.06519959,6.66499754929,4,312,3830,18,4164
570,4178.48418943,5.28431186453,1298.27243427,6.73074577345,0,309,3367,26,3702
600,9104.88717713,4.65032581155,1361.78503043,7.20958533126,9,301,4347,27,4684
630,4012.88468972,5.23798800298,1350.82327139,6.60469916707,2,320,3250,21,3593
660,5599.59739579,5.19898800008,1807.42468596,6.44236474618,1,319,3851,19,4190
690,4609.48109248,5.36909215104,1596.51683781,6.62679483247,7,301,3759,21,4088
720,4295.25549638,5.2202918972,1342.30852083,6.79353690385,1,325,3335,25,3686
750,4815.34748714,5.20642409777,1363.388182,6.69251749759,0,329,3556,25,3910
780,5218.86512382,4.98607870321,1289.37937053,6.94137650928,5,335,3486,27,3853
810,3925.28944155,5.27252344398,1222.43143727,6.70763319053,7,321,3192,18,3538
840,8203.77854875,5.01267100796,2200.58776638,6.48803215516,5,320,4851,28,5204
870,9203.1870076,4.82835715578,2785.31682186,6.12415493615,0,297,4995,22,5314
900,7072.39978972,4.96925088554,2379.5583508,6.03544544239,0,292,4341,26,4659
930,5711.31500558,5.01186685873,1400.06348594,6.74674213142,2,309,3736,27,4074
960,4939.83969959,4.94778169275,1194.28786525,6.69641539659,0,285,3326,16,3627
990,6873.63177453,5.02210677379,1832.40162054,6.53082328003,3,325,4402,16,4746
1020,9337.84963928,4.7397787002,2179.07593119,6.36494925299,2,307,4713,26,5048
1050,6971.08945093,4.94382122927,1632.34528349,6.61062724365,1,322,4212,16,4551
1080,7197.16902911,4.81008976604,1614.6387561,6.56396678619,10,297,4082,30,4419
1110,5827.92194929,4.98052313902,1269.28744086,6.924113686,6,338,3800,16,4160
1140,3232.41894335,5.24001993161,1142.25976332,6.60083480705,15,293,2889,21,3218
1170,3914.29874969,5.33196995047,1241.79813361,6.6084972616,7,313,3292,19,3631
1200,3488.9630371,5.0870066693,944.407437185,6.67635851529,3,293,2779,16,3091
1230,5074.44666577,5.14858592898,1439.50575714,6.59655917936,4,317,3753,16,4090
1260,4483.80599122,4.98201929656,1219.94936012,6.65238052705,0,306,3138,28,3472
1290,5340.66518559,5.04958039505,1388.22381519,6.83689810438,8,325,3638,24,3995
1320,4615.23114693,5.07389450496,1258.76660056,6.48750813416,3,299,3406,8,3716
1350,2573.38599393,5.493172775,978.423836488,6.54429318453,1,281,2711,15,3008
1380,3427.43753164,5.2273880631,1200.6607014,6.6025528383,2,299,2936,16,3253
1410,4929.36761214,4.93066488451,1241.13566851,6.73850091011,4,293,3260,22,3579
1440,3630.20619237,5.17735094747,1138.97909737,6.29703312959,7,299,2982,14,3302
1470,3113.95968729,5.42743137271,1312.61710534,6.42316596756,2,296,3033,12,3343
1500,5726.1283234,4.9808325848,1438.74138586,6.4656054598,0,284,3744,27,4055
1530,6193.76994916,4.92147116496,1437.72010869,6.6016028657,0,296,3854,23,4173
1560,5188.80145045,5.05182871547,1526.31719375,6.3586612571,0,300,3697,17,4014
1590,6255.1224986,5.03860349642,2048.31289769,6.16451748777,3,320,4079,19,4421
1620,5624.59507208,5.02947366003,1607.77761177,6.38548902923,13,330,3815,26,4184
1650,5596.77688466,4.99321567839,1718.46658573,6.2007013416,2,301,3819,13,4135
1680,4207.04784767,5.14466710106,1214.05635858,6.40801289956,0,300,3304,15,3619
1710,3417.20544938,5.37268580887,1302.38051659,6.46240312342,5,281,3151,10,3447
1740,3459.55665437,5.12640474465,1035.72693718,6.65431098475,11,273,2762,28,3074
1770,2950.65731286,5.30677893558,1047.00376685,6.60858355902,8,283,2747,16,3054
1800,3190.54439622,5.3066047828,1072.06190467,6.64591732884,0,286,2847,22,3155
1830,3198.59186599,5.29647402744,1176.75929085,6.57059352351,0,298,2868,14,3180
1860,3536.59704435,5.29460897758,1628.69171967,6.36158598639,0,296,3014,14,3324
1890,5715.63383921,5.04102294078,1859.16503186,6.64245652305,0,308,3646,25,3979
1920,4683.82298017,5.32807148318,1712.02303228,6.5921891873,2,314,3663,9,3988
1950,2700.65332996,5.35193739665,979.277183385,6.6062137813,2,312,2634,23,2971
1980,5354.81750342,4.92537471781,1299.38169012,6.85201515804,0,312,3404,33,3749
2010,3117.69757585,5.14826292578,954.115239794,6.63784627271,5,291,2628,12,2936
2040,3358.39233592,5.33714602592,1131.12875526,6.70321486828,4,287,3006,10,3307
2070,4022.82950919,5.14990542063,1249.22929659,6.72335446528,5,311,3161,25,3502
2100,3078.46684768,5.38341406777,1143.59074068,6.6077365281,2,289,2853,16,3160
2130,3402.22463159,5.27130206058,1157.89259578,6.53439638518,6,299,2848,22,3175
2160,3206.24029547,5.28869640701,1014.77949531,6.6862563303,3,289,2897,10,3199
2190,3029.01351279,5.37198685612,1188.22359843,6.31064962376,2,286,2868,15,3171
2220,8801.34986574,4.71599663599,2053.17267104,6.37669965931,11,302,4581,24,4918
2250,9077.91890797,4.73540030628,1974.47171966,6.5111525061,30,325,4595,18,4968
2280,5290.25364494,5.1802833037,1702.0633276,6.44724631159,1,292,3780,8,4081
2310,3094.57680865,5.5245751377,1390.68183935,6.39601332275,3,318,3027,13,3361
2340,3931.05080893,5.31591675849,1464.35235533,6.31843239681,7,286,3259,25,3577
2370,2829.48770654,5.0354981798,787.256592183,6.73373011336,14,299,2327,21,2661
2400,3880.96982167,5.26488512245,1150.50062524,6.75053460143,4,293,3256,17,3570
2430,4944.14094252,5.0179899106,1330.13240976,7.02796174606,19,297,3362,16,3694
2460,3459.22653925,5.32454802662,1209.5810524,6.493042532,0,289,2950,14,3253
2490,3741.36117295,5.17695906473,1278.48369998,6.5694481062,1,321,2989,14,3325
2520,2752.44067741,5.21873691081,892.462584877,6.7588266707,0,303,2524,22,2849
2550,3376.43386177,5.3795953852,1180.60154957,6.68069770541,4,303,3136,20,3463
2580,2806.55643599,5.29375886872,935.83326566,6.59189917934,0,281,2633,14,2928
2610,2895.19375459,5.35869966243,1123.0341951,6.47984070747,0,310,2707,14,3031
2640,9131.13184089,4.96589627922,3486.93099415,6.44479681318,6,326,4819,26,5177
2670,3095.18308231,5.34149405662,1266.85492201,6.44598542969,6,298,2796,12,3112
2700,6155.89723132,5.17093515148,2346.11325301,6.43137064427,5,307,4122,28,4462
2730,4700.24912378,5.17881043232,1417.51450095,6.47930636515,0,320,3368,19,3707
2760,2725.25216479,5.36678831486,1016.85777956,6.50061020357,0,286,2676,17,2979
2790,4997.13379158,4.83118906913,989.613488547,7.10749405971,0,297,3252,24,3573
2820,2458.67198931,5.28411772041,909.821207228,6.68184428633,9,283,2470,8,2770
2850,5865.18575791,5.02318512713,2049.25065607,5.99364815185,4,311,3961,18,4294
2880,6675.84587386,4.85251331312,1891.06615821,6.22425273385,2,294,4076,12,4384
2910,4764.29930598,5.26293926915,1719.66888411,6.28367251688,1,310,3628,14,3953
2940,4530.3277927,5.21872133659,1306.98900215,6.74820433188,4,316,3486,20,3826
2970,5028.36844812,5.01935158099,1467.52460035,6.29821150809,9,324,3439,16,3788
3000,5345.37049941,5.11989896287,1583.29863626,6.47002493294,8,309,3833,8,4158
3030,5781.26139684,5.04465641242,1819.79587915,6.25045716694,3,303,3868,16,4190
3060,2207.42008349,5.52842345026,1092.63178608,6.40098203866,6,318,2440,14,2778
3090,2910.9872275,5.21527884578,1004.60278143,6.55356342366,1,330,2564,28,2923
3120,3432.77632613,5.17977679799,1027.97017235,6.89904738897,1,310,2866,18,3195
3150,3824.93963224,5.32530490516,1333.70196039,6.6299869132,2,326,3249,14,3591
3180,3559.84277851,5.39772834713,1404.66766538,6.50040434109,5,316,3131,26,3478
3210,6259.23129613,4.75110690775,1336.52117732,7.0978936583,15,358,3443,20,3836
3240,3418.01368385,5.43971982257,1335.33324077,6.51010671427,6,303,3169,16,3494
3270,3709.84284457,5.20934399338,1125.15862925,6.72566591183,6,331,2981,22,3340
3300,3190.02433141,5.21644878979,1111.18449282,6.69302174095,8,296,2792,16,3112
